id;starting_date;ending_date;description;title;jhi_delete
1;2022-08-26;2022-08-26;eyeballs;24 Towels copy;true
2;2022-08-26;2022-08-25;Viaduct;PCI Functionality Liaison;false
3;2022-08-25;2022-08-26;Health boliviano;leading-edge Analyst morph;true
4;2022-08-26;2022-08-25;bluetooth withdrawal blue;architectures;true
5;2022-08-26;2022-08-26;deposit Jersey;Outdoors overriding Ergonomic;true
6;2022-08-26;2022-08-25;withdrawal;Berkshire Plastic;true
7;2022-08-25;2022-08-26;bypassing task-force;interface withdrawal Lilangeni;false
8;2022-08-25;2022-08-26;Shirt microchip calculate;PCI Diverse;false
9;2022-08-25;2022-08-25;mobile Account bluetooth;Metrics;true
10;2022-08-25;2022-08-26;Group intranet Pound;pink Avon;true
